9999,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,
 25,000, 000, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 100, 100, 100, 
 25,000, 000, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 100, 100, 100, 100, 
 26,000, 000, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 100, 100, 100, 100, 
 27,000, 000, 001, 005, 009, 013, 017, 001, 005, 009, 013, 017, 001, 005, 009, 013, 017, 001, 005, 009, 013, 017, 001, 005, 009, 013, 017, 100, 100, 100, 100, 
 28,000, 000, 002, 006, 010, 014, 018, 002, 006, 010, 014, 018, 002, 006, 010, 014, 018, 002, 006, 010, 014, 018, 002, 006, 010, 014, 018, 100, 100, 100, 100, 
 29,000, 000, 000, 000, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 100, 
 30,000, 000, 000, 000, 000, 002, 006, 010, 014, 018, 002, 006, 010, 014, 018, 002, 006, 010, 014, 018, 002, 006, 010, 014, 018, 002, 006, 010, 014, 018, 100, 
 31,000, 000, 000, 000, 000, 000, 002, 006, 010, 014, 018, 002, 006, 010, 014, 018, 002, 006, 010, 014, 018, 002, 006, 010, 014, 018, 002, 006, 010, 014, 018, 
 32,000, 000, 000, 000, 000, 000, 000, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 
 33,000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 
 34,000, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 100, 100, 100, 100, 
 35,000, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 100, 100, 100, 100, 100, 
 36,000, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 000, 004, 008, 012, 016, 100, 100, 100, 100, 100, 
 37,000, 001, 005, 009, 013, 017, 001, 005, 009, 013, 017, 001, 005, 009, 013, 017, 001, 005, 009, 013, 017, 001, 005, 009, 013, 017, 100, 100, 100, 100, 100, 
 38,000, 002, 006, 010, 014, 018, 002, 006, 010, 014, 018, 002, 006, 010, 014, 018, 002, 006, 010, 014, 018, 002, 006, 010, 014, 018, 100, 100, 100, 100, 100, 
 39,
